trade_id,label,direction,entry_time,entry_price,entry_signal_price,exit_time,exit_price,exit_reason,stop_loss,take_profit,position_size,entry_fee,exit_fee,total_fees,gross_pnl,net_pnl,pnl_r,mfe_dollar,mae_dollar,equity_before,equity_after,signal_reason
31,train,long,2025-01-06 15:00:00+00:00,100787.3985,100737.03,2025-01-07 15:00:00+00:00,99428.1141,stop_loss,99477.8531,103884.9723,0.08088297,8.152,8.042,16.194,-109.943,-117.985,-1.1139,156.6688,-293.9205,10184.5977,10058.4607,LONG relative squeeze breakout | recent_high=99764.0 ratio=0.40
32,train,long,2025-01-15 14:00:00+00:00,99013.472,98964.0,2025-01-16 14:00:00+00:00,97462.4762,stop_loss,97511.2318,102595.9205,0.06923651,6.8553,6.748,13.6033,-107.3855,-114.1335,-1.0973,128.3083,-105.4979,10058.4607,9937.4718,LONG relative squeeze breakout | recent_high=97600.3 ratio=0.36
33,train,long,2025-01-23 15:00:00+00:00,105266.2068,105213.5,2025-01-23 15:00:00+00:00,103006.6607,stop_loss,103058.1898,110601.7754,0.04610692,4.8535,4.7493,9.6028,-104.1807,-108.93,-1.07,24.2427,-120.9254,9937.4718,9823.6883,LONG relative squeeze breakout | recent_high=102968.3 ratio=0.39
34,train,short,2025-02-24 15:00:00+00:00,94627.1128,94674.44,2025-02-24 23:00:00+00:00,92329.2874,take_profit,95630.9577,92283.1458,0.10270263,9.7185,9.4825,19.2009,235.9927,226.5103,2.197,336.6441,-58.2814,9823.6883,10040.4801,SHORT relative squeeze breakout | recent_low=95339.4 ratio=0.57
35,train,short,2025-02-25 08:00:00+00:00,89275.35,89320.01,2025-02-26 18:00:00+00:00,84608.5819,take_profit,91221.4945,84566.2987,0.05280338,4.714,4.4676,9.1817,246.4211,241.9535,2.3545,309.2879,-38.264,10040.4801,10277.7195,SHORT relative squeeze breakout | recent_low=90912.0 ratio=0.47
36,train,short,2025-02-28 02:00:00+00:00,81620.7192,81661.55,2025-02-28 15:00:00+00:00,83976.6614,stop_loss,83934.694,75978.69,0.04521368,3.6904,3.7969,7.4873,-106.5208,-110.3177,-1.0544,152.0174,-126.8321,10277.7195,10163.7115,SHORT relative squeeze breakout | recent_low=82716.5 ratio=0.46
37,train,short,2025-04-08 15:00:00+00:00,78440.67,78479.91,2025-04-09 17:00:00+00:00,80475.3486,stop_loss,80435.131,73591.8575,0.05198242,4.0775,4.1833,8.2608,-105.7675,-109.9508,-1.0605,198.6077,-199.8953,10163.7115,10049.6831,SHORT relative squeeze breakout | recent_low=78819.6 ratio=0.23
38,train,long,2025-04-16 15:00:00+00:00,84647.6027,84605.31,2025-04-16 17:00:00+00:00,83452.8046,stop_loss,83494.5518,87382.2054,0.09047589,7.6586,7.5505,15.209,-108.1004,-115.6509,-1.1086,77.1214,-124.1874,10049.6831,9926.3737,LONG relative squeeze breakout | recent_high=84262.0 ratio=0.33
39,train,long,2025-04-22 14:00:00+00:00,90281.2781,90236.16,2025-04-22 21:00:00+00:00,93147.1637,take_profit,89053.1198,93193.7606,0.08390563,7.5751,7.8156,15.3907,240.4639,232.6484,2.2576,302.6243,-21.3555,9926.3737,10151.4469,LONG relative squeeze breakout | recent_high=89220.4 ratio=0.51
40,train,long,2025-05-08 16:00:00+00:00,100808.459,100758.08,2025-05-08 21:00:00+00:00,103823.8268,take_profit,99511.0061,103875.7647,0.08140213,8.206,8.4515,16.6575,245.4574,237.0059,2.244,271.6634,-17.2946,10151.4469,10380.2468,LONG relative squeeze breakout | recent_high=99888.0 ratio=0.23
41,train,short,2025-05-31 02:00:00+00:00,103424.8617,103476.61,2025-05-31 21:00:00+00:00,104923.8819,stop_loss,104871.4462,99989.5196,0.07441911,7.6968,7.8083,15.5051,-111.5558,-119.3641,-1.1088,26.5164,-108.5997,10380.2468,10253.1859,SHORT relative squeeze breakout | recent_low=103550.0 ratio=0.45
42,train,short,2025-06-04 12:00:00+00:00,105031.8178,105084.36,2025-06-05 18:00:00+00:00,102957.8905,take_profit,105955.5291,102906.4373,0.097571,10.2481,10.0457,20.2938,202.3552,192.3095,2.1338,239.0741,-85.6568,10253.1859,10435.2473,SHORT relative squeeze breakout | recent_low=105250.0 ratio=0.39
43,train,long,2025-06-09 10:00:00+00:00,106665.8363,106612.52,2025-06-09 18:00:00+00:00,108418.8367,take_profit,105868.2987,108473.0733,0.09788013,10.4405,10.612,21.0525,171.5839,160.9719,2.0621,184.661,-9.8405,10435.2473,10585.7787,LONG relative squeeze breakout | recent_high=105949.1 ratio=0.41
