trade_id,label,direction,entry_time,entry_price,entry_signal_price,exit_time,exit_price,exit_reason,stop_loss,take_profit,position_size,entry_fee,exit_fee,total_fees,gross_pnl,net_pnl,pnl_r,mfe_dollar,mae_dollar,equity_before,equity_after,signal_reason
117,train,short,2024-08-15 19:15:00+00:00,57185.4929,57214.09,2024-08-15 22:15:00+00:00,57725.6987,stop_loss,57696.8503,56007.1892,0.1483091,8.4811,8.5612,17.0424,-80.1174,-88.6787,-1.1693,164.1712,-77.0372,8485.3702,8388.2104,SHORT resume below prev_low=57750.0 | pullbacks=1 ATR%=0.70%
118,train,short,2024-08-16 14:00:00+00:00,58314.4782,58343.66,2024-08-16 17:30:00+00:00,58771.7825,stop_loss,58742.4113,57346.7817,0.14377244,8.384,8.4498,16.8338,-65.7478,-74.1975,-1.206,95.9578,-99.9969,8388.2104,8305.6288,SHORT resume below prev_low=58385.3 | pullbacks=3 ATR%=0.57%
119,train,long,2024-08-19 01:45:00+00:00,58631.7112,58602.41,2024-08-19 09:45:00+00:00,58275.268,stop_loss,58304.4202,59347.3845,0.14172845,8.3098,8.2593,16.569,-50.5181,-58.7774,-1.2671,18.725,-94.4069,8305.6288,8238.5416,LONG resume above prev_high=58474.6 | pullbacks=3 ATR%=0.42%
120,train,short,2024-08-21 15:00:00+00:00,59380.7048,59410.41,2024-08-21 16:45:00+00:00,59858.4686,stop_loss,59828.5543,58365.0493,0.13867168,8.2344,8.3007,16.5351,-66.2523,-74.553,-1.2005,11.0542,-78.579,8238.5416,8155.7542,SHORT resume below prev_low=59472.9 | pullbacks=3 ATR%=0.59%
121,train,long,2024-08-21 19:00:00+00:00,60801.6656,60771.28,2024-08-21 20:00:00+00:00,61608.642,take_profit,60424.0073,61639.4618,0.13420409,8.1598,8.2681,16.428,108.2995,100.0314,1.9737,136.7894,-28.5889,8155.7542,8247.6258,LONG resume above prev_high=60713.6 | pullbacks=1 ATR%=0.48%
122,train,long,2024-08-22 15:15:00+00:00,60694.0318,60663.71,2024-08-22 15:30:00+00:00,60325.8826,stop_loss,60356.0607,61432.8333,0.1359565,8.2517,8.2017,16.4534,-50.0523,-58.254,-1.2678,0.8875,-78.6035,8247.6258,8181.1201,LONG resume above prev_high=60602.1 | pullbacks=2 ATR%=0.42%
123,train,long,2024-08-23 15:45:00+00:00,61680.815,61649.99,2024-08-23 17:45:00+00:00,62625.4623,take_profit,61247.2697,62656.7907,0.1327027,8.1852,8.3106,16.4958,125.3572,117.0467,2.0344,177.1813,-43.9014,8181.1201,8289.9815,LONG resume above prev_high=61488.0 | pullbacks=3 ATR%=0.54%
124,train,long,2024-08-23 22:30:00+00:00,64648.328,64616.03,2024-08-23 22:45:00+00:00,64180.0071,stop_loss,64212.1131,65625.8222,0.12829605,8.2941,8.234,16.5282,-60.0837,-68.3178,-1.2207,39.3448,-102.4223,8289.9815,8213.3696,LONG resume above prev_high=64476.1 | pullbacks=1 ATR%=0.52%
125,train,long,2024-08-26 15:45:00+00:00,63517.743,63486.0,2024-08-26 21:15:00+00:00,63154.983,stop_loss,63186.5762,64234.5594,0.12937293,8.2175,8.1705,16.388,-46.9313,-55.1019,-1.2861,46.7084,-87.9403,8213.3696,8150.0503,LONG resume above prev_high=63391.0 | pullbacks=2 ATR%=0.39%
126,train,short,2024-08-27 02:00:00+00:00,62963.3126,62994.8,2024-08-27 10:15:00+00:00,62373.0427,take_profit,63255.9713,62341.8717,0.12937656,8.146,8.0696,16.2156,76.3671,68.2975,1.8038,89.3025,-30.6218,8150.0503,8210.2018,SHORT resume below prev_low=63043.0 | pullbacks=2 ATR%=0.35%
127,train,short,2024-08-27 14:15:00+00:00,61879.045,61910.96,2024-08-27 19:00:00+00:00,62210.0758,stop_loss,62178.9864,61240.8941,0.13261306,8.206,8.2499,16.4558,-43.899,-52.1489,-1.3111,53.8429,-42.1318,8210.2018,8149.8469,SHORT resume below prev_low=62128.2 | pullbacks=1 ATR%=0.36%
